ts	tid	pose	x	y	z	area	conf
2026-04-24 18:36:33	0	4	-90	370	0	255	60
2026-04-24 18:36:34	0	4	-90	370	0	255	60
2026-04-24 18:36:35	0	4	-90	370	0	255	60
2026-04-24 18:36:36	0	4	-90	370	0	255	60
2026-04-24 18:36:37	0	4	-90	370	0	255	60
2026-04-24 18:36:38	0	4	-90	370	0	255	60
2026-04-24 18:36:39	0	4	-90	370	0	255	60
2026-04-24 18:36:40	0	4	-90	370	0	255	60
2026-04-24 18:36:41	0	4	-90	370	0	255	60
2026-04-24 18:36:42	0	4	-90	370	0	255	60
2026-04-24 18:36:43	0	4	-90	370	0	255	60
2026-04-24 18:36:44	0	4	-90	370	0	255	60
2026-04-24 18:36:45	0	4	-90	370	0	255	60
2026-04-24 18:36:46	0	4	-90	370	0	255	60
2026-04-24 18:36:47	0	4	-90	370	0	255	60
2026-04-24 18:36:48	0	4	-90	370	0	255	60
2026-04-24 18:36:49	0	4	-90	370	0	255	60
2026-04-24 18:36:50	0	4	-90	380	0	255	60
2026-04-24 18:36:51	0	4	-90	360	71	255	60
2026-04-24 18:36:52	0	4	-60	340	80	255	60
2026-04-24 18:36:53	0	1	-10	290	111	255	60
2026-04-24 18:36:54	0	1	10	290	80	255	60
2026-04-24 18:36:55	0	1	0	330	82	255	60
2026-04-24 18:36:55	1	4	200	320	0	255	60
2026-04-24 18:36:56	0	1	-20	340	99	255	60
2026-04-24 18:36:56	1	4	180	340	0	255	60
2026-04-24 18:36:57	0	1	-40	360	76	255	60
2026-04-24 18:36:57	1	4	200	350	0	255	60
2026-04-24 18:36:58	0	1	-50	370	0	255	60
2026-04-24 18:36:58	1	4	190	380	67	255	60
2026-04-24 18:36:59	0	1	-40	380	0	255	60
2026-04-24 18:36:59	1	4	170	380	0	255	60
2026-04-24 18:37:00	0	4	-40	380	0	255	60
2026-04-24 18:37:00	1	4	160	380	0	255	60
2026-04-24 18:37:01	0	4	-40	370	68	255	60
2026-04-24 18:37:01	1	4	170	370	0	255	60
2026-04-24 18:37:02	0	4	-50	340	80	255	60
2026-04-24 18:37:02	1	4	160	360	0	255	60
2026-04-24 18:37:03	0	4	-40	320	118	255	60
2026-04-24 18:37:03	1	4	120	330	0	255	60
