ts	tid	pose	x	y	z	area	conf
2026-04-24 19:25:28	0	3	50	-30	0	12	60
2026-04-24 19:25:28	1	4	130	-30	0	255	60
2026-04-24 19:25:29	0	3	50	-30	0	12	60
2026-04-24 19:25:29	1	4	130	-30	0	255	60
2026-04-24 19:25:30	0	3	50	-30	0	12	60
2026-04-24 19:25:30	1	4	130	-30	0	255	60
2026-04-24 19:25:31	0	3	50	-30	0	12	60
2026-04-24 19:25:31	1	4	130	-30	0	255	60
2026-04-24 19:25:32	0	3	50	-30	0	12	60
2026-04-24 19:25:32	1	4	130	-30	0	255	60
2026-04-24 19:25:33	0	3	50	-30	0	12	60
2026-04-24 19:25:33	1	4	130	-30	0	255	60
2026-04-24 19:25:34	0	3	50	-30	0	12	60
2026-04-24 19:25:34	1	4	130	-30	0	255	60
2026-04-24 19:25:35	0	3	50	-30	0	12	60
2026-04-24 19:25:35	1	4	130	-30	0	255	60
2026-04-24 19:25:36	0	3	50	-30	0	12	60
2026-04-24 19:25:36	1	4	130	-30	0	255	60
2026-04-24 19:25:37	0	3	50	-30	0	12	60
2026-04-24 19:25:37	1	4	130	-30	0	255	60
2026-04-24 19:25:38	0	3	50	-30	0	12	60
2026-04-24 19:25:38	1	4	130	-30	0	255	60
2026-04-24 19:25:39	0	3	50	-30	0	12	60
2026-04-24 19:25:39	1	4	130	-30	0	255	60
2026-04-24 19:25:40	0	3	50	-30	0	12	60
2026-04-24 19:25:40	1	4	130	-30	0	255	60
2026-04-24 19:25:41	0	3	50	-30	0	12	60
2026-04-24 19:25:41	1	4	130	-30	0	255	60
2026-04-24 19:25:42	0	3	50	-30	0	12	60
2026-04-24 19:25:42	1	4	130	-30	0	255	60
2026-04-24 19:25:43	0	3	50	-30	0	12	60
2026-04-24 19:25:43	1	4	130	-30	0	255	60
2026-04-24 19:25:44	0	3	50	-30	0	12	60
2026-04-24 19:25:44	1	4	130	-30	0	255	60
2026-04-24 19:25:45	0	3	50	-30	0	12	60
2026-04-24 19:25:45	1	4	130	-30	0	255	60
2026-04-24 19:25:46	0	3	50	-30	0	12	60
2026-04-24 19:25:46	1	4	130	-30	0	255	60
2026-04-24 19:25:47	0	3	50	-30	0	12	60
2026-04-24 19:25:47	1	4	130	-30	0	255	60
2026-04-24 19:25:48	0	3	50	-30	0	12	60
2026-04-24 19:25:48	1	4	130	-30	0	255	60
2026-04-24 19:25:49	0	3	50	-30	0	12	60
2026-04-24 19:25:49	1	4	130	-30	0	255	60
2026-04-24 19:25:50	0	3	50	-30	0	12	60
2026-04-24 19:25:50	1	4	130	-30	0	255	60
2026-04-24 19:25:51	0	3	50	-30	0	12	60
2026-04-24 19:25:51	1	4	130	-30	0	255	60
2026-04-24 19:25:52	0	3	50	-30	0	12	60
2026-04-24 19:25:52	1	4	130	-30	0	255	60
2026-04-24 19:25:53	0	3	50	-30	0	12	60
2026-04-24 19:25:53	1	4	130	-30	0	255	60
2026-04-24 19:25:54	0	3	50	-30	0	12	60
2026-04-24 19:25:54	1	4	130	-30	0	255	60
2026-04-24 19:25:55	0	3	50	-30	0	12	60
2026-04-24 19:25:55	1	4	130	-30	0	255	60
2026-04-24 19:25:56	0	3	50	-30	0	12	60
2026-04-24 19:25:56	1	4	130	-30	0	255	60
2026-04-24 19:25:57	0	3	50	-30	0	12	60
2026-04-24 19:25:57	1	4	130	-30	0	255	60
2026-04-24 19:25:58	0	3	50	-30	0	12	60
2026-04-24 19:25:58	1	4	130	-30	0	255	60
2026-04-24 19:25:59	0	3	50	-30	0	12	60
2026-04-24 19:25:59	1	4	130	-30	0	255	60
2026-04-24 19:26:00	0	3	50	-30	0	12	60
2026-04-24 19:26:00	1	4	130	-30	0	255	60
2026-04-24 19:26:02	0	3	50	-30	0	12	60
2026-04-24 19:26:02	1	4	130	-30	0	255	60
2026-04-24 19:26:02	0	3	50	-30	0	12	60
2026-04-24 19:26:02	1	4	130	-30	0	255	60
2026-04-24 19:26:03	0	3	50	-30	0	12	60
2026-04-24 19:26:03	1	4	130	-30	0	255	60
2026-04-24 19:26:04	0	3	50	-30	0	12	60
2026-04-24 19:26:04	1	4	140	-30	0	255	60
2026-04-24 19:26:05	0	3	50	-10	0	12	60
2026-04-24 19:26:05	1	4	140	-20	0	255	60
2026-04-24 19:26:06	0	3	50	-20	0	12	60
2026-04-24 19:26:06	1	4	140	-10	0	255	60
2026-04-24 19:26:07	0	3	40	-10	87	12	60
2026-04-24 19:26:07	1	4	160	-20	0	255	60
2026-04-24 19:26:08	0	3	30	-20	0	12	60
2026-04-24 19:26:08	1	4	170	-20	0	255	60
2026-04-24 19:26:09	0	3	40	-10	0	12	60
2026-04-24 19:26:09	1	4	170	-20	0	255	60
2026-04-24 19:26:10	0	3	40	-10	0	12	60
2026-04-24 19:26:10	1	4	170	-20	0	255	60
2026-04-24 19:26:11	0	3	40	-10	0	12	60
2026-04-24 19:26:11	1	4	170	-20	0	255	60
2026-04-24 19:26:12	0	3	40	-10	0	12	60
2026-04-24 19:26:12	1	4	170	-20	0	255	60
2026-04-24 19:26:13	0	3	40	0	85	12	60
