# CABB 4D8710D5CABB  room fd00:0:3:411:1:200::/88  Unit tz=Asia/Shanghai(UTC+8)
# window 17:44:00-18:02:30 local | source: PG monitor_stream(radar.track) + event_log
# pose: 1=Walking 3=Sitting 4=Standing 7=SuspectedSitOnGround 8=SitOnGround | note: walking / SITONGROUND / Z>80
# ----------------------------------------------------------------------
17:48:12  pose4  z0    xy( -70,  30) tid1   
17:48:13  pose4  z0    xy( -70,  30) tid1   
17:48:14  pose4  z0    xy( -70,  30) tid1   
17:48:15  pose4  z0    xy( -70,  30) tid1   
17:48:16  pose4  z0    xy( -70,  30) tid1   
17:48:17  pose4  z0    xy( -70,  30) tid1   
17:48:18  pose4  z0    xy( -70,  30) tid1   
17:48:19  pose4  z0    xy( -70,  30) tid1   
17:48:20  pose4  z0    xy( -70,  30) tid1   
17:48:21  pose4  z0    xy( -70,  30) tid1   
17:48:22  pose4  z0    xy( -70,  30) tid1   
17:48:23  pose4  z0    xy( -70,  30) tid1   
17:48:24  pose4  z0    xy( -70,  30) tid1   
17:48:25  pose4  z0    xy( -70,  30) tid1   
17:48:27  pose4  z0    xy( -70,  30) tid1   
17:48:27  pose4  z0    xy( -70,  30) tid1   
17:48:28  pose4  z0    xy( -70,  30) tid1   
17:48:29  pose4  z0    xy( -70,  30) tid1   
17:48:30  pose4  z0    xy( -70,  30) tid1   
17:48:31  pose4  z0    xy( -70,  30) tid1   
17:48:32  pose4  z0    xy( -70,  30) tid1   
17:48:34  pose4  z0    xy( -70,  30) tid1   
17:48:34  pose4  z0    xy( -70,  30) tid1   
17:48:35  pose4  z0    xy( -70,  30) tid1   
17:48:36  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:44  pose4  z0    xy( -70,  30) tid1   
17:48:45  pose4  z0    xy( -70,  30) tid1   
17:48:46  pose4  z115  xy( -70,  30) tid1   Z>80
17:48:48  pose4  z137  xy( -80,  40) tid1   Z>80
17:48:48  pose4  z0    xy( -80,  30) tid1   
17:48:49  pose4  z110  xy( -80,  40) tid1   Z>80
