bj	topic_type	category	data_value
2026-05-05 06:47:09.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:10.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:11.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:12.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:13.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:14.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:15.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:16.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:17.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 10, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:18.000	monitor	track	[{"pose": 3, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 0, "position_z": 134, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:19.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": -30, "position_z": 113, "remaining_time": 0, "track_confidence": 80}]
2026-05-05 06:47:20.000	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": -10, "position_y": -60, "position_z": 134, "remaining_time": 0, "track_confidence": 80}]
