mdt	device_uid	topic_type	category	data_value
2026-05-04 00:04:51.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:52.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:53.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:54.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:55.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:56.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:57.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:58.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:04:59.000	4D8710D5CABB	event	activity	[{"track_id": 9, "event_since": 1777874699154, "track_count": 1, "event_status": "instant", "lie_duration": 0, "walk_distance": 2, "walk_duration": 9, "stand_duration": 51, "multi_person_duration": 0}]
2026-05-04 00:04:59.000	4D8710D5CABB	monitor	heart	[{"track_id": 11, "track_confidence": 80}]
2026-05-04 00:04:59.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-05-04 00:05:00.000	4D8710D5CABB	monitor	track	[{"pose": 4, "area_id": 2, "track_id": 0, "bed_status": 0, "position_x": 0, "position_y": 40, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
