2026-06-30 08:05:10.466 | MON | radar.heart      | [{"pose": 0, "track_id": 11, "track_confidence": 80}]
2026-06-30 08:05:10.466 | EVT | activity         | [{"track_id": 9, "heart_rate": -1, "event_since": 1782828310466, "track_count": 1, "event_status": "instant", "lie_duration": 0, "walk_distance": 0, "walk_duration": 0, "stand_duration": 50, "respiratory_rate": -1, "multi_person_duration": 0}]
2026-06-30 08:05:10.503 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:11.340 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:12.341 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:13.357 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:14.347 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:15.355 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:16.397 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:17.304 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:18.302 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:19.293 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:20.300 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:21.297 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:22.296 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:23.302 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:24.304 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:25.303 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:26.308 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:27.306 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:28.306 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:29.196 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:30.197 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:31.200 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:32.210 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
2026-06-30 08:05:33.210 | MON | radar.track      | [{"pose": 4, "area_id": 255, "track_id": 0, "position_x": -110, "position_y": 430, "position_z": 0, "remaining_time": 0, "track_confidence": 80}]
